iseq,war,campn,engagem,atkr,atk_cmdr,defr,def_cmdr,date,long,lat,dist_att,dist_def,elev_mean_h,elev_min_h,elev_max_h,elev_var_h,elev_sd_h,elev_mean_l,elev_min_l,elev_max_l,elev_var_l,elev_sd_l,a_frontage,d_frontage,soft_ar,tree_ar,river,wet,overcast,temp,unit_ar,unit_cp,unit_dv,unit_rg,amilpert,dmilpert,ffr,afsr,dfsr,frontat,envelop,defoff,surprise,fort,a_tks_to,a_tks_lt,a_tks_mb,a_sortie,a_arty,d_tks_to,d_tks_lt,d_tks_mb,d_sortie,d_arty,a_democ,d_democ,a_prisec,d_prisec,a_coup5,d_coup5,duration,acas_per,dcas_per,ler,ln_ler,a_advance,rtadv
252,THE BALKAN WARS,THRACE 1913,ADRIANOPLE,BUL 2ND ARMY(+),GEN IVANHOFF,TK ADRIANOPLE GARRISON,SHUKRI PASHA,1913.225,26.5473,41.6824,211740.0529,154401.938,178.3323,17,798,15569.92362,124.7795,198.9787,53,588,14968.6638,122.3465,80,32,0.014967067,0.054386727,0,1,1,1,1,0,0,0,152000,75000,2.026666667,1900,937.5,1,0,0,2,1,0,0,0,0,444,0,0,0,0,250,0,2,1209,97,0,1,3,9300,15000,0.62,-0.478,NA,NA
253,RUSSO-POLISH WAR (1920),POLISH COUNTEROFFENSIVE,WARSAW,POL ARMY GROUP,PILSUDSKI,SOV ARMY GROUP,TUKHACHEVSKI,1920.619,21.0122,52.2297,84.77839841,1003035.316,146.4568,31,569,2285.13637,47.8031,149.8543,45,356,2212.675,47.0391,335,335,0.052461601,0.0754778,0,0,0,1,1,0,0,0,160000,200000,0.8,477.6119403,597.0149254,0,1,0,3,0,1,1,0,NA,179,NA,NA,NA,NA,598,8,0,923,414,NA,0,12,50000,150000,0.3333,-1.0986,388000,30
254,RUSSO-POLISH WAR (1920),POLISH OFFENSIVE SEP-OCT 1920,THE NIEMAN,POL ARMY GROUP,PILSUDSKI,SOV ARMY GROUP,TUKHACHEVSKI,1920.729,23.8418,53.6745,225135.8061,799885.2494,140.669,6,318,1719.371104,41.4653,142.0033,26,279,1649.0027,40.6079,320,320,0.158849735,0.173064331,0,0,0,1,1,0,0,0,80000,108500,0.737327189,250,339.0625,0,1,1,0,0,NA,NA,NA,NA,220,NA,NA,NA,NA,571,8,0,923,414,NA,0,6,20000,50000,0.4,-0.9163,148000,20
255,THE SPANISH CIVIL WAR,MADRID 1937,GUADALAJARA-BRIHUEGA,IT VOL CORPS,GEN ROATTA,SP REPUBLICAN FORCES,GEN MIAJA,1937.192,-3.0634,40.6778,876874.2191,46333.76675,892.7138,682,983,7261.766656,85.216,924.1667,861,981,1895.7667,43.5404,11,11,0,0,0,1,1,0,0,1,0,0,52000,100000,0.52,4727.272727,9090.909091,1,0,1,2,0,50,NA,NA,200,230,70,NA,NA,240,NA,0,0,1333,1973,0,1,5,6460,6660,0.97,-0.0305,35000,1.4
256,THE MANCHURIAN INCIDENT (1938-1939),CHANGKUFENG,CHANGKUFENG-SHACHAOFENG,JAP I/75TH INF REGT(+),COL SATO,SOV 59TH BORDER GUARD UNIT(-),COL GREBENNIK,1938.581,130.6072,42.4525,909802.2783,5384363.919,30.2,11,73,261.7438623,16.1785,10,4,16,72,8.4853,3,3,0,0.106767725,0,0,1,1,0,0,0,1,1410,1460,0.965753425,470,486.6666667,0,1,1,1,0,0,0,0,0,14,20,NA,NA,0,20,4,0,1874,1795,0,0,0.25,178,350,0.5086,-0.6761,28000,0.5
257,THE MANCHURIAN INCIDENT (1938-1939),CHANGKUFENG,HILL 52-SHACHAOFENG,SOV 40TH RIFLE DIV(-)(+),MARSHAL BLUCHER,JAP 19TH INF DIV(-),LG SUETAKA,1938.586,130.6259,42.4539,5385321.801,909348.6125,22.4,4,37,114.4621817,10.6987,4,4,4,0,0,3,3,0,0.238882073,0,0,0,2,0,0,1,0,4000,3010,1.328903654,1333.333333,1003.333333,0,0,0,0,0,30,NA,NA,103,40,0,0,0,0,22,0,4,1795,1874,0,0,0.5417,400,41,9.7561,2.2779,28000,0
258,THE MANCHURIAN INCIDENT (1938-1939),CHANGKUFENG,CHANGKUFENG-HILL 52,SOV SPECIAL FAR EASTERN ARMY(-),MARSHAL BLUCHER,JAP 19TH INF DIV(+),LG SUETAKA,1938.597,130.5975,42.4536,5383811.161,910206.3147,20.0229,4,73,235.051826,15.3314,10,4,16,72,8.4853,6,6,0,0.421041756,0,0,0,1,1,0,0,0,20000,8000,2.5,3333.333333,1333.333333,1,0,1,0,0,200,NA,NA,407,100,0,0,0,0,37,0,4,1795,1874,0,0,5,4000,1100,3.6364,1.291,29000,0.2
259,THE MANCHURIAN INCIDENT (1938-1939),NOMONHAN,NOMONHAN-OPENING ENGAGEMENT,JAP 64TH INF REGT(-)(+),COL YAMAGATA,SOV 11TH TK BDE(-)(+),MAJ BYKOV,1939.406,118.7305,47.7067,1778300.818,4603722.756,735.2059,717,740,18.65289721,4.3189,815.5,808,823,112.5,10.6066,3,5,0.73436286,0,0,0,0,1,0,0,0,1,1300,1228,1.058631922,433.3333333,409.3333333,1,0,1,0,0,10,10,0,40,4,0,0,0,NA,14,4,0,1899,1795,0,0,2,278,250,1.112,0.1062,36000,3.7
260,THE MANCHURIAN INCIDENT (1938-1939),NOMONHAN,NOMONHAN-SOVIET COUNTEROFFENSIVE,SOV 1ST ARMY GROUP,GEN ZHUKOV,JAP 6TH ARMY(-),LG OGISU,1939.636,118.6128,47.7049,4597335.987,1782470.608,729.4101,638,815,853.9311284,29.2221,834.7353,762,1006,4836.2005,69.5428,50,60,0.293136034,0,0,0,0,2,1,0,0,0,57000,30000,1.9,1140,600,1,0,1,2,0,498,NA,NA,NA,216,120,NA,NA,NA,135,0,4,1951,1899,0,0,12,10000,11500,0.8696,-0.1398,50000,1.8
261,RUSSO-FINISH WAR (1939-1940),FINLAND 1939-40,SUOMUSSALMI,FIN 9TH INF DIV,COL SIILASVUO,SOV 163RD UKRANIAN DIV & 44TH MOTORIZED DIV,GEN SELENTSOV,1939.945,28.9084,64.8843,569354.2409,1125794.258,203.7837,153,259,407.8218692,20.1946,214.0303,197,246,222.9053,14.93,32,32,0.466953352,0.834402389,0,1,1,0,0,0,1,0,9000,29954,0.300460706,281.25,936.0625,1,0,1,2,0,0,0,0,NA,8,55,NA,NA,NA,96,7,0,1266,1951,0,0,29,2670,19600,0.1362,-1.9935,28000,0
262,WORLD WAR I (WESTERN FRONT 1914),THE FRONTIERS,ALSACE-LORRAINE I,"FR 1ST & 2ND ARMIES, ARMY OF ALSACE",GEN JOFFRE,GER 6TH &7TH ARMIES,GEN MOLTKE,1914.622,6.1854,48.8752,214420.125,571248.4939,295.5454,72,1295,18316.9156,135.34,306.2894,94,1001,19059.5699,138.0564,225,225,0,0.200010024,0,0,0,1,1,0,0,0,457000,345000,1.324637681,2031.111111,1533.333333,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,NA,8,4,1459,1724,0,0,5,65340,32880,1.9872,0.6867,63000,7
263,WORLD WAR I (WESTERN FRONT 1914),THE FRONTIERS,ALSACE-LORRAINE II,GER 6TH & 7TH ARMIES,GEN MOLTKE,FR 1ST & 2ND ARMIES & ARMY OF ALSACE,GEN JOFFRE,1914.636,6.162,48.8299,575750.6295,213154.968,293.8582,72,1295,18909.11011,137.5104,306.964,94,1001,19349.08,139.101,225,225,0,0.196624755,0,0,0,1,1,0,0,0,350000,400000,0.875,1555.555556,1777.777778,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,NA,4,8,1724,1459,0,0,2,11000,21780,0.5051,-0.6831,84000,28
264,WORLD WAR I (WESTERN FRONT 1914),THE FRONTIERS,THE ARDENNES,FR 3RD & 4TH ARMIES,GEN JOFFRE,GER 4TH &5TH ARMIES,GEN MOLTKE,1914.641,4.9097,50.2578,211063.5189,536126.6346,256.6082,51,644,11884.20482,109.0147,287.8947,85,500,14997.1165,122.4627,100,100,0.003705107,0.282377619,0,1,1,1,1,0,0,0,360000,400000,0.9,3600,4000,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,8,4,1459,1724,0,0,2,17196,12720,1.3519,0.3015,56000,14
265,WORLD WAR I (WESTERN FRONT 1914),THE FRONTIERS,THE SAMBRE,GER 2ND & 3RD ARMIES,GEN BUELOW,FR 5TH ARMY,GEN LANREZAC,1914.641,4.4414,50.4073,551998.4458,207803.4238,169.1866,35,311,2963.125677,54.4346,166.7857,75,275,2807.8042,52.9887,53,53,0,0.017905449,0,0,0,1,1,0,0,0,440000,254000,1.732283465,8301.886792,4792.45283,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,4,8,1724,1459,0,0,2,21018,8000,2.6273,0.9659,40000,6
266,WORLD WAR I (WESTERN FRONT 1914),THE FRONTIERS,MONS,GER 1ST ARMY,GEN KLUCK,BR EXPED FORCE,FM FRENCH,1914.644,3.9509,50.4532,574761.9966,255592.591,87.1741,12,201,1570.719203,39.6323,99.9355,25,175,1949.529,44.1535,35,35,0,0,0,0,0,1,1,0,0,0,260000,70000,3.714285714,7428.571429,2000,1,0,0,0,0,0,0,0,0,600,0,0,0,0,328,4,8,1724,1725,0,0,0.5833,6210,1638,3.7912,1.3327,31000,5
267,WORLD WAR I (WESTERN FRONT 1914),ADVANCE TO THE MARNE,LE CATEAU,GER 1ST ARMY,GEN KLUCK,BR EXPED FORCE,FM FRENCH,1914.652,3.5423,50.1054,611652.8565,257113.922,133.9907,63,190,490.1530324,22.1394,139,79,194,770.3077,27.7544,23,23,0,0.002483886,0,0,0,1,1,0,0,0,250000,40000,6.25,10869.56522,1739.130435,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,150,4,8,1724,1725,0,0,0.5,8970,7800,1.15,0.1398,30000,3
268,WORLD WAR I (WESTERN FRONT 1914),ADVANCE TO THE MARNE,GUISE,GER 2ND ARMY,GEN BUELOW,FR 5TH ARMY,GEN LANREZAC,1914.66,3.3005,49.8455,636759.9917,121538.0027,99.6007,41,179,806.048881,28.391,111.6786,65,195,842.0766,29.0186,50,50,0.004102067,0,0,0,0,1,1,0,0,0,260000,200000,1.3,5200,4000,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,4,8,1724,1459,0,0,0.5833,12000,8000,1.5,0.4055,31000,4
269,WORLD WAR I (WESTERN FRONT 1914),THE MARNE 1914,HEIGHTS OF NANCY,GER 6TH & 7TH ARMIES,GEN MOLTKE,FR 1ST & 2ND ARMIES,GEN JOFFRE,1914.674,6.196,48.698,585005.8679,215826.6121,306.9017,127,1075,10017.3275,100.0866,324.2163,153,951,14211.1954,119.2107,144,144,0,0.159163056,0,0,0,1,1,0,0,0,350000,276000,1.268115942,2430.555556,1916.666667,1,0,1,0,1,0,0,0,0,NA,0,0,0,0,NA,4,8,1724,1459,0,0,5,75000,52000,1.4423,0.3662,42000,2.7
270,WORLD WAR I (WESTERN FRONT 1914),THE MARNE 1914,OURCQ I,FR 6TH ARMY,GEN MOUNOURY,GER 4TH RESERVE CORPS,GEN GRONAU,1914.679,3.6018,49.1153,75844.59904,664686.3161,165.4216,60,247,2728.098253,52.2312,179.0714,136,210,524.2253,22.896,18,18,0,0,0,0,0,1,1,0,0,0,100000,45000,2.222222222,5555.555556,2500,1,0,1,-1,0,0,0,0,0,NA,0,0,0,0,72,8,4,1459,1724,0,0,1,5600,2500,2.24,0.8065,29000,1
271,WORLD WAR I (WESTERN FRONT 1914),THE MARNE 1914,OURCQ II,FR 6TH ARMY,GEN MAUNOURY,GER 1ST ARMY(-)(+),GEN KLUCK,1914.682,3.5996,48.9564,71196.76926,675018.4743,187.4234,56,258,2128.493587,46.1356,186.1875,120,242,941.6411,30.6862,32,32,0,0.059683601,0,0,0,1,1,0,0,0,198000,157000,1.261146497,6187.5,4906.25,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,8,4,1459,1724,0,0,4,40000,39000,1.0256,0.0253,36000,2
272,WORLD WAR I (WESTERN FRONT 1914),THE MARNE 1914,PETIT MORIN,FR 5TH ARMY,GEN FRANCHET D'ESPEREY,GER 2ND ARMY,GEN BUELOW,1914.682,3.5013,48.8713,65023.73091,685024.0982,178.7806,54,258,1231.20985,35.0886,182.027,91,242,1079.8048,32.8604,37,27.8,0.003920196,0.002622697,0,0,0,1,1,0,0,0,227000,82000,2.768292683,6135.135135,2216.216216,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,8,4,1459,1724,0,0,4,45000,19000,2.3684,0.8622,56000,7
273,WORLD WAR I (WESTERN FRONT 1914),THE MARNE 1914,TWO MORINS,BR EXPED FORCE,FM FRENCH,GER 1ST ARMY,GEN KLUCK,1914.682,3.5013,48.88,355499.2589,684450.8215,182.2582,55,236,851.6358158,29.1828,182,91,228,886.1333,29.768,30.4,30.4,0,0,0,0,0,1,1,0,0,0,90000,13000,6.923076923,2960.526316,427.6315789,1,0,0,0,0,0,0,0,0,380,0,0,0,0,24,8,4,1725,1724,0,0,4,2500,3500,0.7143,-0.3365,68000,10
274,WORLD WAR I (WESTERN FRONT 1914),THE MARNE 1914,MARSHES OF ST.GOND,GER 2ND(-) & 3RD ARMIES,GEN HAUSEN,FR 9TH ARMY,GEN FOCH,1914.682,3.9109,48.9262,663091.8937,88069.36951,162.2276,62,280,2979.631396,54.586,159.913,94,250,2051.7256,45.296,42,42,0.021809297,0.041878148,0,0,0,1,1,0,0,0,101000,141000,0.716312057,2404.761905,3357.142857,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,4,8,1724,1459,0,0,4,25000,29000,0.8621,-0.1484,41000,3.2
275,WORLD WAR I (WESTERN FRONT 1914),THE MARNE 1914,VITRY LE FRANCOIS,GER 3RD(-) & 4TH ARMIES,DK OF WUERTTEMBURG,FR 4TH ARMY,GEN LANGLE DE CARY,1914.682,4.5877,48.7309,647378.993,126397.727,143.1339,77,297,1030.602609,32.103,160.1136,94,291,1970.5846,44.3913,64,64,0,0.008241877,0,0,0,1,1,0,0,0,113000,170000,0.664705882,1765.625,2656.25,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,4,8,1724,1459,0,0,4,26000,27000,0.963,-0.0377,28000,0
276,WORLD WAR I (WESTERN FRONT 1914),THE MARNE 1914,GAP OF REVIGNY,GER 5TH ARMY,CR PR WILHELM,FR 3RD ARMY,GEN SARRAIL,1914.682,4.9867,48.8309,623303.1347,147752.4559,203.4832,83,391,5016.49226,70.8272,225.2614,101,350,5292.4481,72.7492,64,64,0,0.028040337,0,0,0,1,1,0,0,0,142000,180000,0.788888889,2218.75,2812.5,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,4,8,1724,1459,0,0,4,29000,29000,1,0,28000,0
277,WORLD WAR I (WESTERN FRONT 1914),RETREAT FROM THE MARNE,THE AISNE,"FR 5TH & 6TH ARMIES, BR EXPED FORCE",GEN JOFFRE,"GER 1ST, 7TH & 2ND ARMIES",GEN FALKENHAYN,1914.701,3.8773,49.2999,98553.94669,640429.0735,132.206,34,291,2494.69282,49.9469,139.9497,50,275,2087.4217,45.6883,112,112,0.003948972,0.018210574,0,1,1,1,1,0,0,0,343000,290000,1.182758621,3062.5,2589.285714,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,8,4,1459,1724,0,0,6,50000,30000,1.6667,0.5108,28000,0
278,WORLD WAR I (EASTERN FRONT 1914),E PRUSSIA 1914,STALLUPONEN,RUS 3RD CORPS,GEN RENNENKAMPF,GER 1ST CORPS,GEN VON FRANCOIS,1914.627,22.5718,54.6333,731244.6826,561407.4859,66.0174,31,206,740.852186,27.2186,83.2121,39,215,2150.1723,46.37,32,32,0,0,0,0,0,1,0,1,0,0,50000,40000,1.25,1562.5,1250,1,0,1,-1,0,0,0,0,0,120,0,0,0,0,100,0,4,435,1724,0,0,0.375,3500,2000,1.75,0.5596,32000,10
279,WORLD WAR I (EASTERN FRONT 1914),E PRUSSIA 1914,GUMBINNEN,GER 8TH ARMY,GEN VON PRITTWITZ,RUS 1ST ARMY,GEN RENNENKAMPF,1914.636,22.2018,54.5924,540822.8761,747214.4997,71.4458,3,223,1794.513627,42.3617,81.5102,26,215,2610.603,51.0941,64,64,0.001983003,0.057840075,0,0,0,1,1,0,0,0,120000,150000,0.8,1875,2343.75,1,0,1,0,0,0,0,0,0,300,0,0,0,0,450,4,0,1724,435,0,0,0.5,20000,20000,1,0,32000,8
280,WORLD WAR I (EASTERN FRONT 1914),E PRUSSIA 1914,TANNENBERG,GER 8TH ARMY,GEN VON HINDENBURG,RUS 2ND ARMY,GEN SAMSONOV,1914.652,20.4801,53.7784,417482.1051,877619.7482,130.4064,0,298,1339.15743,36.5945,127.5548,13,238,1223.0706,34.9724,120,120,0.014366139,0.200822163,0,0,0,1,1,0,0,0,187000,160000,1.16875,1558.333333,1333.333333,1,0,1,2,0,0,0,0,0,818,0,0,0,0,600,4,0,1724,435,0,0,4,13212,120000,0.1101,-2.2064,40000,3
281,WORLD WAR I (EASTERN FRONT 1914),E PRUSSIA 1914,MASURIAN LAKES,GER 8TH ARMY,GEN VON HINDENBURG,RUS 1ST ARMY,GEN RENNENKAMPF,1914.69,20.5805,54.3663,448757.4043,823845.205,58.3748,-85,205,2868.073759,53.5544,67.9778,-54,169,2817.8359,53.0833,121,121,0.002741012,0.006957133,0,0,0,1,1,0,0,0,288600,273000,1.057142857,2385.123967,2256.198347,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,800,4,0,1724,435,0,0,5,40000,125000,0.32,-1.1394,113000,17
282,WORLD WAR I (EASTERN FRONT 1914),GALICIA 1914,KRASNIK,AUS 1ST ARMY,GEN DANKL,RUS 4TH ARMY,GEN SALZA,1914.644,22.227,50.9233,444418.0428,1099801.217,214.0112,124,318,1670.258813,40.8688,215.6,140,298,1344.2,36.6633,64,64,0.021546223,0.101584341,0,0,0,1,1,0,0,0,350000,260000,1.346153846,5468.75,4062.5,1,0,0,0,0,0,0,0,0,875,0,0,0,0,690,0,0,1591,435,0,0,3,50000,50000,1,0,40000,4
283,WORLD WAR I (EASTERN FRONT 1914),GALICIA 1914,KOMAROV,AUS 4TH ARMY(+),GEN AUFFENBERG,RUS 5TH ARMY,GEN PLEHVE,1914.652,23.2524,50.7228,474303.3683,1098448.123,241.711,173,360,1245.595849,35.293,236.0348,186,321,905.683,30.0946,72,72,0.164666888,0.077939641,0,0,0,1,1,0,0,0,300000,260000,1.153846154,4166.666667,3611.111111,1,0,1,0,0,0,0,0,0,750,0,0,0,0,720,0,0,1591,435,0,0,5,40000,90000,0.4444,-0.8109,38000,2
284,WORLD WAR I (EASTERN FRONT 1914),GALICIA 1914,GNILA LIPA,AUS 3RD ARMY(+),GEN BRUDERMAN,RUS 3RD & 8TH ARMIES,GEN IVANOV,1914.652,23.8267,49.9188,456475.7284,1172158.67,267.7969,169,684,3923.29355,62.6362,271.8416,161,620,3819.5939,61.8029,150,150,0.098068786,0.066618335,0,0,0,1,1,0,0,0,240000,480000,0.5,1600,3200,1,0,1,0,0,0,0,0,0,828,0,0,0,0,1304,0,0,1591,435,0,0,5,76000,35000,2.1714,0.7754,93000,13
285,WORLD WAR I (EASTERN FRONT 1914),GALICIA 1914,RAVA RUSSKA,"AUS 2ND, 3RD & 4TH ARMIES",GEN CONRAD,"RUS 3RD, 5TH & 8TH ARMIES",GEN IVANOV,1914.674,23.6167,50.25,462826.418,1140926.912,237.7153,154,462,1830.521997,42.7846,240.7669,161,385,1580.589,39.7566,160,160,0.136397023,0.060917434,0,0,0,1,1,0,0,0,900000,936000,0.961538462,5625,5850,1,0,1,0,0,0,0,0,0,2000,0,0,0,0,2000,0,0,1591,435,0,0,8,180000,82000,2.1951,0.7862,36000,1
286,WORLD WAR I (EASTERN FRONT 1914),W POLAND 1914,LODZ,GER 9TH ARMY,GEN MACKENSEN,RUS NORTHWEST ARMY GROUP,GRAND DK NICHOLAS,1914.866,19.456,51.7592,346561.2356,1092944.402,155.1348,56,344,1565.001512,39.5601,158.8535,82,244,1425.4785,37.7555,120,120,0.00798564,0.024756506,0,1,1,0,1,0,0,0,260000,400000,0.65,2166.666667,3333.333333,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,4,0,1724,435,0,0,13,60000,95000,0.6316,-0.4595,197000,13
287,WORLD WAR I (SERBIAN FRONT 1914),SERBIA 1914,THE JADAR,AUS 2ND(-) & 5TH ARMIES,GEN POTIAREK,"SERB 1ST, 2ND & 3RD ARMIES",FM PUTNIK,1914.614,19.5376,44.5562,443064.8514,59987.05659,221.855,68,932,26360.18511,162.3582,229.9741,74,811,24744.2167,157.3029,74,74,0,0.032285757,0,0,0,1,1,0,0,0,200000,200000,1,2702.702703,2702.702703,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,1591,400,0,0,8,34000,18000,1.8889,0.636,52000,3
288,WORLD WAR I (SERBIAN FRONT 1914),SERBIA 1914,THE KOLUBRA,"SERB 1ST, 2ND & 3RD ARMIES",FM PUTNIK,AUS 5TH & 6TH ARMIES,GEN POTIOREK,1914.923,20.1497,44.516,38184.27984,461657.3252,230.787,38,1233,40228.72604,200.571,233.7813,74,965,33526.3869,183.1021,106,106,0.000324427,0.012615219,0,1,1,1,1,0,0,0,200000,300000,0.666666667,1886.792453,2830.188679,1,0,0,2,0,0,0,0,0,NA,0,0,0,0,NA,NA,0,400,1591,0,0,7,45000,92000,0.4891,-0.7151,126000,14
